,Code,Name,Ensemble,Lon,Lat,SLP(hPa),Winds(m/s),Dist(m),Angle,B,VLT,VUT,Time(Z),Storm Phase
0,TC190102,Beatrice,1.0,-7.32,15.81,1003.52,17.8,127.66,46.0,10.65,-53.56,53.29,1901-08-26 12:00:00,Pre-Tropical
1,TC190102,Beatrice,1.0,-10.69,17.66,1001.98,14.0,413.55,300.14,4.97,-45.31,47.55,1901-08-26 18:00:00,Pre-Tropical
2,TC190102,Beatrice,1.0,-13.17,18.62,1004.63,12.2,282.2,292.09,7.53,-48.73,52.99,1901-08-27 00:00:00,Pre-Tropical
3,TC190102,Beatrice,1.0,-12.8,18.26,1004.03,13.7,54.84,135.62,17.57,-75.38,58.89,1901-08-27 06:00:00,Pre-Tropical
4,TC190102,Beatrice,1.0,-14.69,18.08,1004.67,14.2,199.95,264.13,17.75,-74.06,60.58,1901-08-27 12:00:00,Pre-Tropical
5,TC190102,Beatrice,1.0,-16.57,17.89,1005.32,14.6,200.16,264.14,16.56,-63.73,56.66,1901-08-27 18:00:00,Pre-Tropical
6,TC190102,Beatrice,1.0,-18.45,17.71,1005.96,15.1,200.36,264.14,21.3,-67.82,62.38,1901-08-28 00:00:00,Pre-Tropical
7,TC190102,Beatrice,1.0,-19.87,18.11,1004.73,16.9,156.87,286.62,17.39,-62.75,57.4,1901-08-28 06:00:00,Pre-Tropical
8,TC190102,Beatrice,1.0,-22.36,18.68,1006.75,17.1,269.8,283.55,13.9,-45.13,47.43,1901-08-28 12:00:00,Pre-Tropical
9,TC190102,Beatrice,1.0,-24.91,18.51,1005.62,15.5,269.05,266.07,11.88,-23.93,39.7,1901-08-28 18:00:00,Pre-Tropical
10,TC190102,Beatrice,1.0,-27.07,17.73,1006.48,15.3,244.55,249.22,8.38,-3.94,38.64,1901-08-29 00:00:00,Pre-Tropical
11,TC190102,Beatrice,1.0,-27.73,17.28,1003.29,16.1,86.26,234.38,5.45,19.18,35.88,1901-08-29 06:00:00,Tropical
12,TC190102,Beatrice,1.0,-29.06,18.29,1005.74,18.8,179.95,308.67,2.56,44.08,36.18,1901-08-29 12:00:00,Tropical
13,TC190102,Beatrice,1.0,-31.4,18.72,1004.17,19.0,251.91,281.11,0.09,60.44,39.41,1901-08-29 18:00:00,Tropical
14,TC190102,Beatrice,1.0,-32.89,18.93,1005.58,19.6,157.71,278.49,-1.37,66.3,45.9,1901-08-30 00:00:00,Tropical
15,TC190102,Beatrice,1.0,-35.05,19.09,1003.41,19.0,228.42,274.49,-1.12,70.21,48.53,1901-08-30 06:00:00,Tropical
16,TC190102,Beatrice,1.0,-36.37,18.79,1004.21,21.2,142.42,256.51,-2.92,81.72,51.4,1901-08-30 12:00:00,Tropical
17,TC190102,Beatrice,1.0,-38.36,19.58,1002.76,23.1,226.89,292.94,-2.26,92.94,54.53,1901-08-30 18:00:00,Tropical
