,Code,Name,Orig Code,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
0,TC190001,Alex,0024,A,2,1900-08-31 12:00:00,998.93,-42.4,41.54,1900-08-27 06:00:00,1900-08-25 00:00:00,999.11,-68.55,31.19,1900-08-25 00:00:00,1010.17,-74.91,22.04,1900-09-02 06:00:00,1010.34,-25.5,46.0,1010.17,-74.91,22.04,1900-08-28 00:00:00,1001.52,-65.34,32.7,1900-09-01 00:00:00,1006.23,-37.0,42.75
1,TC190002,Beatrice,0026,A,2,1900-09-03 06:00:00,933.33,-53.61,30.15,1900-09-03 06:00:00,1900-08-29 06:00:00,933.33,-53.61,30.15,1900-08-26 12:00:00,1003.52,-7.32,15.81,1900-09-10 06:00:00,978.17,-16.15,55.43,1003.29,-27.73,17.28,1900-09-04 06:00:00,943.55,-50.41,35.84,1900-09-10 06:00:00,978.17,-16.15,55.43
2,TC190003,Colin,0028,A,1,1900-09-09 12:00:00,972.24,-51.89,48.03,1900-09-07 00:00:00,1900-09-04 18:00:00,993.64,-64.5,40.87,1900-09-04 12:00:00,998.46,-68.21,35.95,1900-09-11 06:00:00,996.61,-38.5,46.25,997.93,-67.63,36.53,1900-09-08 06:00:00,993.82,-60.67,40.65,,,,
3,TC190004,Dawn,0029,A,1,1900-09-16 06:00:00,988.35,-49.1,43.53,1900-09-14 18:00:00,1900-09-11 12:00:00,997.38,-56.81,32.09,1900-09-11 12:00:00,1009.35,-46.84,17.12,1900-09-16 06:00:00,988.35,-49.1,43.53,1009.35,-46.84,17.12,1900-09-15 06:00:00,993.79,-54.45,35.06,,,,
4,TC190006,Ernest,0038,A,2,1900-11-22 18:00:00,991.58,-36.06,34.02,1900-11-22 18:00:00,1900-11-21 12:00:00,991.58,-36.06,34.02,1900-11-21 12:00:00,1006.64,-35.72,24.28,1900-11-25 12:00:00,998.31,-47.52,55.48,1006.64,-35.72,24.28,1900-11-24 18:00:00,998.89,-42.28,44.18,1900-11-25 00:00:00,998.75,-42.63,48.24
5,TC190007,Flavia,0040,A,1,1900-12-05 06:00:00,955.88,-25.59,20.99,1900-12-05 06:00:00,1900-12-01 06:00:00,955.88,-25.59,20.99,1900-12-01 06:00:00,1001.05,-27.41,29.25,1900-12-11 00:00:00,1012.5,-26.25,26.75,1001.05,-27.41,29.25,1900-12-11 00:00:00,1012.5,-26.25,26.75,,,,
6,TC190101,Harrison,0071,A,1,1901-09-02 18:00:00,993.83,-77.4,31.94,1901-09-02 18:00:00,1901-08-31 18:00:00,993.83,-77.4,31.94,1901-08-31 18:00:00,1010.82,-79.01,26.91,1901-09-04 12:00:00,1011.87,-81.25,38.75,1010.82,-79.01,26.91,1901-09-04 00:00:00,1007.64,-82.59,37.74,,,,
7,TC190102,Janet,0075,A,0,1901-09-20 12:00:00,924.85,-65.79,29.2,1901-09-20 12:00:00,1901-09-17 00:00:00,924.85,-65.79,29.2,1901-09-17 00:00:00,1009.0,-58.98,20.7,1901-09-27 18:00:00,1011.63,-45.04,28.97,1009.0,-58.98,20.7,,,,,,,,
8,TC190103,Kinen,0079,A,2,1901-10-13 18:00:00,974.73,-35.58,40.53,1901-10-13 18:00:00,1901-10-10 06:00:00,974.73,-35.58,40.53,1901-10-09 00:00:00,1010.36,-42.7,28.55,1901-10-16 18:00:00,1009.48,-9.5,44.25,1000.39,-39.96,26.88,1901-10-15 06:00:00,984.17,-21.7,47.01,1901-10-16 00:00:00,999.49,-13.75,44.5
9,TC190201,Lydia,0097,A,0,1902-01-24 12:00:00,975.4,-72.99,22.91,1902-01-24 12:00:00,1902-01-17 00:00:00,975.4,-72.99,22.91,1902-01-17 00:00:00,1007.53,-61.49,23.91,1902-01-28 12:00:00,990.66,-73.25,20.25,1007.53,-61.49,23.91,,,,,,,,
10,TC190202,Mario,0100,A,2,1902-02-03 18:00:00,973.36,-28.79,33.46,1902-02-03 18:00:00,1902-01-30 06:00:00,973.36,-28.79,33.46,1902-01-30 06:00:00,999.74,-63.74,21.55,1902-02-07 06:00:00,997.91,-17.5,54.25,999.74,-63.74,21.55,1902-02-06 12:00:00,991.99,-22.84,47.13,1902-02-07 00:00:00,998.08,-21.25,51.41
