,Code,Name,Ensemble,Lon,Lat,SLP(hPa),Winds(m/s),Dist(m),Angle,B,VLT,VUT,Time(Z),Storm Phase
0,TC200201,Alex,1.0,-46.32,40.22,977.46,30.4,108.33,62.65,43.67,54.11,-49.12,2002-01-12 18:00:00,Pre-Tropical
1,TC200201,Alex,1.0,-45.03,40.61,976.39,28.2,117.81,68.45,35.5,62.49,-29.68,2002-01-13 00:00:00,Pre-Tropical
2,TC200201,Alex,1.0,-43.77,40.75,973.33,30.2,107.81,81.2,36.61,59.14,-32.8,2002-01-13 06:00:00,Pre-Tropical
3,TC200201,Alex,1.0,-41.65,40.23,975.3,27.8,188.0,108.07,33.99,50.12,-37.82,2002-01-13 12:00:00,Pre-Tropical
4,TC200201,Alex,1.0,-38.96,40.16,976.23,24.9,228.54,91.8,28.15,46.27,-29.63,2002-01-13 18:00:00,Pre-Tropical
5,TC200201,Alex,1.0,-36.79,39.94,978.07,24.3,186.8,97.65,24.28,44.65,-42.67,2002-01-14 00:00:00,Pre-Tropical
6,TC200201,Alex,1.0,-34.62,39.69,979.67,24.2,187.04,98.49,13.73,31.43,-56.11,2002-01-14 06:00:00,Tropical
7,TC200201,Alex,1.0,-32.99,39.31,983.38,27.4,146.46,106.57,10.32,23.3,-68.23,2002-01-14 12:00:00,Tropical
8,TC200201,Alex,1.0,-32.58,34.19,982.63,29.2,570.98,176.09,10.56,34.23,-85.45,2002-01-14 18:00:00,Tropical
9,TC200201,Alex,1.0,-30.02,34.98,983.09,27.0,250.15,69.16,10.02,54.04,-100.84,2002-01-15 00:00:00,Tropical
10,TC200201,Alex,1.0,-28.66,35.78,984.57,25.4,151.92,54.16,8.77,70.11,-100.32,2002-01-15 06:00:00,Tropical
11,TC200201,Alex,1.0,-27.45,35.83,987.63,29.9,108.92,87.2,13.83,106.27,-86.95,2002-01-15 12:00:00,Tropical
12,TC200201,Alex,1.0,-26.21,35.75,987.03,29.4,112.41,94.01,9.28,129.11,-79.39,2002-01-15 18:00:00,Tropical
13,TC200201,Alex,1.0,-25.11,35.28,990.07,28.7,112.78,117.89,4.59,117.21,-69.84,2002-01-16 00:00:00,Tropical
14,TC200201,Alex,1.0,-23.97,34.63,990.53,25.4,126.39,124.78,5.23,87.93,-72.68,2002-01-16 06:00:00,Tropical
15,TC200201,Alex,1.0,-22.46,34.05,994.68,25.8,152.99,114.75,7.41,39.33,-78.33,2002-01-16 12:00:00,Tropical
16,TC200201,Alex,1.0,-20.5,34.25,997.12,24.9,181.7,82.89,11.85,-3.07,-98.27,2002-01-16 18:00:00,Transition
17,TC200201,Alex,1.0,-18.5,35.5,1001.61,16.6,229.36,52.34,16.67,-27.48,-107.71,2002-01-17 00:00:00,Extratropical
18,TC200201,Alex,1.0,-17.0,37.5,1002.83,21.2,259.68,30.55,19.13,-33.59,-111.28,2002-01-17 06:00:00,Extratropical
19,TC200201,Alex,1.0,-16.5,39.0,1005.67,20.8,172.42,14.44,18.16,-44.11,-104.17,2002-01-17 12:00:00,Extratropical
20,TC200201,Alex,1.0,-15.0,40.5,1006.93,16.0,210.39,37.08,17.72,-45.89,-102.77,2002-01-17 18:00:00,Extratropical
21,TC200201,Alex,1.0,-14.25,41.5,1010.1,18.4,127.78,29.22,19.02,-55.81,-102.61,2002-01-18 00:00:00,Extratropical
22,TC200201,Alex,1.0,-13.75,42.0,1011.13,17.4,69.37,36.56,20.66,-71.38,-99.47,2002-01-18 06:00:00,Extratropical
23,TC200202,Beatrice,1.0,-55.37,40.08,977.86,32.2,316.33,126.38,5.32,101.99,-36.09,2002-01-29 12:00:00,Tropical
24,TC200202,Beatrice,1.0,-52.23,39.59,980.02,29.0,274.07,101.29,2.3,71.68,-55.84,2002-01-29 18:00:00,Tropical
25,TC200202,Beatrice,1.0,-49.08,39.11,982.18,25.8,275.93,101.22,3.7,84.81,-58.39,2002-01-30 00:00:00,Tropical
26,TC200202,Beatrice,1.0,-47.4,38.08,982.4,25.5,185.82,127.72,0.85,108.31,-52.81,2002-01-30 06:00:00,Tropical
27,TC200202,Beatrice,1.0,-45.73,37.48,984.52,28.3,160.92,114.29,-1.83,104.6,-40.73,2002-01-30 12:00:00,Tropical
28,TC200202,Beatrice,1.0,-44.4,36.9,985.97,27.1,134.4,118.35,-5.11,117.41,-28.42,2002-01-30 18:00:00,Tropical
29,TC200202,Beatrice,1.0,-43.06,36.33,987.42,25.9,135.19,118.17,-3.46,117.49,-12.46,2002-01-31 00:00:00,Tropical
30,TC200202,Beatrice,1.0,-41.84,35.37,987.85,21.7,153.07,133.71,-4.05,99.45,5.08,2002-01-31 06:00:00,Tropical
