,Code,Name,Orig Code,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
0,TC200201,Alex,0066,1,2,2002-01-13 06:00:00,973.33,-43.77,40.75,2002-01-14 06:00:00,2002-01-14 06:00:00,979.67,-34.62,39.69,2002-01-12 18:00:00,977.46,-46.32,40.22,2002-01-18 06:00:00,1011.13,-13.75,42.0,979.67,-34.62,39.69,2002-01-16 18:00:00,997.12,-20.5,34.25,2002-01-17 00:00:00,1001.61,-18.5,35.5
1,TC200204,Dawn,0076,1,2,2002-03-14 12:00:00,974.18,-58.07,41.52,2002-03-14 12:00:00,2002-03-14 12:00:00,974.18,-58.07,41.52,2002-03-13 12:00:00,988.78,-60.26,38.0,2002-03-19 00:00:00,1004.88,-35.5,52.5,974.18,-58.07,41.52,2002-03-18 00:00:00,984.01,-45.95,51.83,2002-03-18 06:00:00,987.66,-44.42,52.34
2,TC200209,Flavia,0093,1,2,2002-09-03 18:00:00,916.62,-59.07,23.47,2002-09-03 18:00:00,2002-08-31 00:00:00,916.62,-59.07,23.47,2002-08-29 18:00:00,1012.31,-39.04,14.75,2002-09-08 18:00:00,990.45,-49.09,56.68,1009.6,-45.8,17.23,2002-09-07 06:00:00,943.24,-65.14,39.41,2002-09-08 06:00:00,983.0,-57.64,52.78
3,TC200210,Harrison,0094,1,2,2002-09-12 00:00:00,924.42,-67.65,29.01,2002-09-12 00:00:00,2002-09-04 18:00:00,924.42,-67.65,29.01,2002-09-04 18:00:00,1007.38,-36.72,16.05,2002-09-21 18:00:00,983.74,-7.15,58.7,1007.38,-36.72,16.05,2002-09-17 06:00:00,952.37,-66.94,36.41,2002-09-20 12:00:00,959.76,-32.08,51.73
4,TC200213,Kinen,0098,1,2,2002-10-24 06:00:00,990.97,-19.94,38.93,2002-10-24 06:00:00,2002-10-20 12:00:00,990.97,-19.94,38.93,2002-10-20 06:00:00,998.37,-38.07,34.2,2002-10-26 12:00:00,1001.39,1.55,41.29,1001.95,-35.57,32.87,2002-10-25 06:00:00,996.31,-14.54,37.14,2002-10-25 18:00:00,999.55,-10.63,37.67
5,TC200305,Nicole,0132,1,2,2003-09-28 12:00:00,928.97,-88.7,28.84,2003-09-28 12:00:00,2003-09-17 06:00:00,928.97,-88.7,28.84,2003-09-17 06:00:00,1006.88,-41.3,9.16,2003-09-30 18:00:00,1002.57,-85.0,38.25,1006.88,-41.3,9.16,2003-09-29 00:00:00,966.21,-87.42,31.07,2003-09-29 12:00:00,989.3,-86.53,33.4
6,TC200403,Tony,0179,1,2,2004-10-30 18:00:00,945.46,-32.99,32.83,2004-10-30 18:00:00,2004-10-27 12:00:00,945.46,-32.99,32.83,2004-10-27 12:00:00,995.25,-45.38,28.61,2004-11-01 18:00:00,1010.63,-6.0,46.0,995.25,-45.38,28.61,2004-10-31 06:00:00,953.59,-26.22,37.11,2004-11-01 12:00:00,1006.73,-8.75,46.25
7,TC200502,Audrey,0196,1,2,2005-03-04 06:00:00,978.85,-31.83,51.27,2005-03-01 06:00:00,2005-02-28 06:00:00,978.9,-46.25,37.88,2005-02-27 18:00:00,988.3,-52.55,36.43,2005-03-05 18:00:00,996.69,-33.75,47.0,983.63,-49.15,38.72,2005-03-04 00:00:00,981.0,-32.57,49.83,2005-03-05 18:00:00,996.69,-33.75,47.0
8,TC200504,Christine,0213,1,2,2005-09-01 12:00:00,983.63,-79.66,26.15,2005-09-01 12:00:00,2005-08-28 18:00:00,983.63,-79.66,26.15,2005-08-28 18:00:00,1000.59,-61.93,19.1,2005-09-09 00:00:00,1010.37,-67.37,43.96,1000.59,-61.93,19.1,2005-09-07 06:00:00,999.15,-82.99,34.61,2005-09-08 00:00:00,1006.06,-77.21,41.16
9,TC200601,Elyse,0246,1,2,2006-04-07 18:00:00,960.59,-62.65,40.38,2006-04-07 18:00:00,2006-04-07 12:00:00,960.59,-62.65,40.38,2006-04-07 00:00:00,990.24,-60.65,38.04,2006-04-10 06:00:00,993.27,-52.5,53.5,964.43,-63.74,38.33,2006-04-09 18:00:00,989.43,-54.36,49.48,2006-04-09 18:00:00,989.43,-54.36,49.48
10,TC200603,Frederick,0252,1,2,2006-05-07 18:00:00,978.81,-48.82,33.18,2006-05-07 18:00:00,2006-05-04 18:00:00,978.81,-48.82,33.18,2006-05-04 18:00:00,999.74,-57.73,23.93,2006-05-12 00:00:00,992.19,-25.99,56.66,999.74,-57.73,23.93,2006-05-08 18:00:00,979.32,-42.93,35.03,2006-05-10 12:00:00,986.81,-32.03,47.16
11,TC200607,Jacob,0268,1,2,2006-10-01 18:00:00,927.61,-49.63,26.06,2006-10-01 18:00:00,2006-09-24 18:00:00,927.61,-49.63,26.06,2006-09-24 18:00:00,1004.88,-21.55,13.51,2006-10-05 18:00:00,958.97,-22.16,59.63,1004.88,-21.55,13.51,2006-10-05 00:00:00,956.55,-32.96,46.15,2006-10-05 18:00:00,958.97,-22.16,59.63
12,TC200710,Samson,0314,1,2,2007-09-07 00:00:00,897.7,-60.07,23.57,2007-09-07 00:00:00,2007-09-01 12:00:00,897.7,-60.07,23.57,2007-08-31 18:00:00,1008.05,-26.53,13.2,2007-09-12 06:00:00,961.14,-33.94,58.18,1004.92,-30.93,14.27,2007-09-09 12:00:00,933.51,-60.82,37.35,2007-09-11 06:00:00,959.0,-43.52,47.85
13,TC200712,Tiffany,0317,1,2,2007-10-05 12:00:00,948.05,-33.25,43.5,2007-09-29 06:00:00,2007-09-20 06:00:00,949.54,-50.0,22.57,2007-09-19 06:00:00,1010.55,-14.06,9.07,2007-10-07 12:00:00,978.63,-29.68,59.03,1005.21,-17.66,10.01,2007-10-03 12:00:00,968.88,-49.04,29.38,2007-10-07 00:00:00,974.6,-27.76,55.14
14,TC200904,Charlie,0404,1,2,2009-09-08 18:00:00,941.57,-69.98,32.41,2009-09-08 18:00:00,2009-08-31 00:00:00,941.57,-69.98,32.41,2009-08-31 00:00:00,1009.9,-30.92,11.93,2009-09-20 12:00:00,998.07,-27.99,53.17,1009.9,-30.92,11.93,2009-09-20 00:00:00,989.06,-36.24,48.66,2009-09-20 06:00:00,994.07,-32.55,51.01
15,TC200905,Demi,0411,1,2,2009-10-19 12:00:00,916.14,-46.13,32.35,2009-10-19 12:00:00,2009-10-10 12:00:00,916.14,-46.13,32.35,2009-10-10 12:00:00,1003.87,-44.4,35.31,2009-10-23 00:00:00,1000.85,-2.39,42.31,1003.87,-44.4,35.31,2009-10-19 18:00:00,924.91,-44.37,33.2,2009-10-22 18:00:00,992.79,-6.25,42.97
