,Code,Name,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Trop Begin Time,Final Time,Final SLP,Final Lon,Final Lat
0,TC200009,Flavia,A,2,2000-09-03 18:00:00,916.62,-59.07,23.47,2000-09-03 18:00:00,916.62,-59.07,23.47,2000-09-07 06:00:00,943.24,-65.14,39.41,2000-09-08 06:00:00,983.0,-57.64,52.78,2000-08-29 12:00:00,1013.21,-37.33,14.41,2000-08-31 00:00:00,2000-09-08 18:00:00,990.45,-49.09,56.68
1,TC200010,Harrison,A,2,2000-09-12 00:00:00,924.42,-67.65,29.01,2000-09-12 00:00:00,924.42,-67.65,29.01,2000-09-17 06:00:00,952.37,-66.94,36.41,2000-09-20 12:00:00,959.76,-32.08,51.73,2000-09-04 18:00:00,1007.38,-36.72,16.05,2000-09-04 18:00:00,2000-09-21 00:00:00,970.52,-22.81,54.57
2,TC200403,Frederick,A,2,2004-05-07 18:00:00,978.81,-48.82,33.18,2004-05-07 18:00:00,978.81,-48.82,33.18,2004-05-08 18:00:00,979.32,-42.93,35.03,2004-05-10 12:00:00,986.81,-32.03,47.16,2004-05-04 18:00:00,999.74,-57.73,23.93,2004-05-04 18:00:00,2004-05-10 18:00:00,988.32,-30.97,49.62
3,TC200407,Katrina,A,2,2004-10-01 18:00:00,927.61,-49.63,26.06,2004-10-01 18:00:00,927.61,-49.63,26.06,2004-10-05 00:00:00,956.55,-32.96,46.15,2004-10-05 18:00:00,958.97,-22.16,59.63,2004-09-24 18:00:00,1004.88,-21.55,13.51,2004-09-24 18:00:00,2004-10-05 18:00:00,958.97,-22.16,59.63
4,TC200503,Maho,A,2,2005-06-09 18:00:00,973.25,-74.52,35.84,2005-06-09 06:00:00,988.91,-79.97,31.97,2005-06-09 12:00:00,979.25,-77.06,33.41,2005-06-11 00:00:00,1000.72,-61.75,44.25,2005-06-06 00:00:00,1009.9,-88.83,19.31,2005-06-06 00:00:00,2005-06-11 00:00:00,1000.72,-61.75,44.25
5,TC200510,Samson,A,2,2005-09-07 00:00:00,897.7,-60.07,23.57,2005-09-07 00:00:00,897.7,-60.07,23.57,2005-09-09 12:00:00,933.51,-60.82,37.35,2005-09-11 06:00:00,959.0,-43.52,47.85,2005-08-31 18:00:00,1008.05,-26.53,13.2,2005-09-01 12:00:00,2005-09-12 06:00:00,961.14,-33.94,58.18
6,TC200512,Tiffany,A,2,2005-10-05 12:00:00,948.05,-33.25,43.5,2005-09-29 06:00:00,949.54,-50.0,22.57,2005-10-03 12:00:00,968.88,-49.04,29.38,2005-10-07 00:00:00,974.6,-27.76,55.14,2005-09-19 06:00:00,1010.55,-14.06,9.07,2005-09-20 06:00:00,2005-10-07 00:00:00,974.6,-27.76,55.14
7,TC200704,Demi,A,2,2007-09-08 18:00:00,941.57,-69.98,32.41,2007-09-08 18:00:00,941.57,-69.98,32.41,2007-09-20 00:00:00,989.06,-36.24,48.66,2007-09-20 06:00:00,994.07,-32.55,51.01,2007-08-31 00:00:00,1009.9,-30.92,11.93,2007-08-31 00:00:00,2007-09-20 12:00:00,998.07,-27.99,53.17
8,TC200706,Frances,A,2,2007-11-24 06:00:00,967.62,-46.96,29.03,2007-11-24 06:00:00,967.62,-46.96,29.03,2007-11-27 00:00:00,1002.21,-35.0,36.0,2007-11-27 00:00:00,1002.21,-35.0,36.0,2007-11-21 00:00:00,996.42,-65.74,31.41,2007-11-21 18:00:00,2007-11-28 06:00:00,1006.61,-18.75,39.0
9,TC200805,Julie,A,2,2008-05-12 06:00:00,986.1,-36.31,50.76,2008-05-10 18:00:00,992.56,-60.3,40.19,2008-05-11 00:00:00,991.64,-58.81,42.07,2008-05-12 00:00:00,996.14,-42.2,48.86,2008-05-07 00:00:00,1008.31,-62.8,23.82,2008-05-07 00:00:00,2008-05-12 06:00:00,986.1,-36.31,50.76
