,Code,Name,Lon,Lat,SLP(hPa),Winds(m/s),Dist(m),Angle,B,VLT,VUT,Time(Z),Storm Phase
0,TC210001,Alex,-36.05,31.78,1005.8,23.9,31.54,27.09,-9.89,140.21,-117.67,2100-02-03 00:00:00,Tropical
1,TC210001,Alex,-36.82,30.79,997.5,30.5,131.93,214.07,-8.0,133.68,-116.45,2100-02-03 06:00:00,Tropical
2,TC210001,Alex,-37.27,29.68,996.57,35.5,130.98,199.5,-0.58,108.75,-129.38,2100-02-03 12:00:00,Tropical
3,TC210001,Alex,-37.95,27.58,993.42,35.4,242.94,196.06,-4.96,95.81,-110.09,2100-02-03 18:00:00,Tropical
4,TC210001,Alex,-36.76,25.67,996.11,21.3,242.86,150.41,2.09,74.97,-91.9,2100-02-04 00:00:00,Tropical
5,TC210001,Alex,-34.84,25.9,993.8,21.3,193.76,82.39,5.07,63.9,-96.8,2100-02-04 06:00:00,Tropical
6,TC210001,Alex,-34.58,27.5,991.82,24.8,180.26,8.32,7.19,52.4,-100.97,2100-02-04 12:00:00,Tropical
7,TC210001,Alex,-36.13,28.52,992.71,25.7,189.99,306.78,4.45,51.78,-77.34,2100-02-04 18:00:00,Tropical
8,TC210001,Alex,-37.52,27.93,994.61,24.4,151.28,244.38,0.64,61.46,-76.1,2100-02-05 00:00:00,Tropical
9,TC210001,Alex,-38.91,27.34,996.52,23.1,151.96,244.5,-1.73,56.75,-83.59,2100-02-05 06:00:00,Tropical
10,TC210001,Alex,-40.3,26.75,998.43,21.8,152.62,244.62,-0.7,49.78,-81.65,2100-02-05 12:00:00,Tropical
11,TC210003,Beatrice,-47.15,41.53,953.85,43.3,246.38,33.84,33.39,218.75,195.77,2100-03-01 00:00:00,Pre-Tropical
12,TC210003,Beatrice,-45.1,44.65,944.96,41.6,384.86,24.79,21.05,202.41,206.43,2100-03-01 06:00:00,Pre-Tropical
13,TC210003,Beatrice,-45.04,45.78,943.01,34.9,124.88,2.34,14.07,185.73,208.32,2100-03-01 12:00:00,Tropical
14,TC210003,Beatrice,-44.74,46.27,944.13,33.5,59.31,22.43,4.69,170.02,205.68,2100-03-01 18:00:00,Tropical
15,TC210003,Beatrice,-44.3,46.37,947.03,31.6,35.63,70.8,0.23,166.41,203.28,2100-03-02 00:00:00,Tropical
16,TC210003,Beatrice,-44.03,46.44,948.11,28.4,22.02,71.07,-3.84,137.08,175.54,2100-03-02 06:00:00,Tropical
17,TC210003,Beatrice,-44.3,45.62,953.49,26.9,93.76,193.17,-2.38,96.97,127.05,2100-03-02 12:00:00,Tropical
18,TC210003,Beatrice,-43.35,44.13,958.18,28.7,182.05,155.12,5.3,69.81,66.93,2100-03-02 18:00:00,Tropical
19,TC210003,Beatrice,-40.91,42.67,963.47,26.3,255.14,128.86,12.06,43.78,16.1,2100-03-03 00:00:00,Tropical
20,TC210003,Beatrice,-38.04,41.85,965.59,24.0,252.78,110.88,11.87,21.42,-19.22,2100-03-03 06:00:00,Tropical
21,TC210003,Beatrice,-35.46,41.48,969.19,23.0,218.5,101.0,11.57,3.1,-39.1,2100-03-03 12:00:00,Tropical
22,TC210003,Beatrice,-32.3,41.93,970.11,22.5,267.11,79.05,12.47,8.9,-48.41,2100-03-03 18:00:00,Tropical
23,TC210003,Beatrice,-29.14,42.38,971.02,21.9,265.29,78.97,14.92,2.64,-52.65,2100-03-04 00:00:00,Tropical
24,TC210003,Beatrice,-27.09,43.99,968.64,21.3,244.41,42.32,21.93,18.64,-52.73,2100-03-04 06:00:00,Transition
25,TC210003,Beatrice,-26.62,45.55,968.02,24.3,176.5,11.92,20.16,48.23,-52.18,2100-03-04 12:00:00,Transition
26,TC210003,Beatrice,-26.58,46.69,966.29,26.5,127.44,1.23,18.12,74.52,-50.79,2100-03-04 18:00:00,Transition
27,TC210003,Beatrice,-26.13,47.09,967.4,25.7,56.19,37.25,17.06,99.67,-43.4,2100-03-05 00:00:00,Transition
28,TC210003,Beatrice,-25.6,47.79,967.73,24.3,86.77,27.01,15.88,100.19,-29.54,2100-03-05 06:00:00,Transition
29,TC210003,Beatrice,-25.72,48.07,969.84,22.8,32.66,345.18,10.62,85.47,-21.39,2100-03-05 12:00:00,Transition
30,TC210003,Beatrice,-25.6,47.79,971.08,21.0,32.66,165.06,14.74,64.01,-21.9,2100-03-05 18:00:00,Transition
31,TC210003,Beatrice,-24.45,47.68,973.88,20.8,86.85,97.7,16.79,51.18,-29.18,2100-03-06 00:00:00,Transition
32,TC210003,Beatrice,-23.25,48.25,974.9,26.5,109.61,54.57,17.82,37.28,-39.22,2100-03-06 06:00:00,Transition
33,TC210003,Beatrice,-23.0,49.0,977.23,25.2,85.4,12.3,13.71,32.56,-55.7,2100-03-06 12:00:00,Transition
34,TC210003,Beatrice,-22.75,49.5,977.77,25.8,58.49,17.95,11.17,26.3,-69.43,2100-03-06 18:00:00,Transition
35,TC210003,Beatrice,-22.75,49.75,980.27,26.8,27.8,0.0,9.55,17.7,-88.29,2100-03-07 00:00:00,Transition
