,Code,Name,Ensemble,Lon,Lat,SLP(hPa),Winds(m/s),Dist(m),Angle,B,VLT,VUT,Time(Z),Storm Phase
0,TC210203,Beatrice,1.0,-47.15,41.53,953.85,43.3,246.38,33.84,33.39,218.75,195.77,2102-03-01 00:00:00,Pre-Tropical
1,TC210203,Beatrice,1.0,-45.1,44.65,944.96,41.6,384.86,24.79,21.05,202.41,206.43,2102-03-01 06:00:00,Pre-Tropical
2,TC210203,Beatrice,1.0,-45.04,45.78,943.01,34.9,124.88,2.34,14.07,185.73,208.32,2102-03-01 12:00:00,Tropical
3,TC210203,Beatrice,1.0,-44.74,46.27,944.13,33.5,59.31,22.43,4.69,170.02,205.68,2102-03-01 18:00:00,Tropical
4,TC210203,Beatrice,1.0,-44.3,46.37,947.03,31.6,35.63,70.8,0.23,166.41,203.28,2102-03-02 00:00:00,Tropical
5,TC210203,Beatrice,1.0,-44.03,46.44,948.11,28.4,22.02,71.07,-3.84,137.08,175.54,2102-03-02 06:00:00,Tropical
6,TC210203,Beatrice,1.0,-44.3,45.62,953.49,26.9,93.76,193.17,-2.38,96.97,127.05,2102-03-02 12:00:00,Tropical
7,TC210203,Beatrice,1.0,-43.35,44.13,958.18,28.7,182.05,155.12,5.3,69.81,66.93,2102-03-02 18:00:00,Tropical
8,TC210203,Beatrice,1.0,-40.91,42.67,963.47,26.3,255.14,128.86,12.06,43.78,16.1,2102-03-03 00:00:00,Tropical
9,TC210203,Beatrice,1.0,-38.04,41.85,965.59,24.0,252.78,110.88,11.87,21.42,-19.22,2102-03-03 06:00:00,Tropical
10,TC210203,Beatrice,1.0,-35.46,41.48,969.19,23.0,218.5,101.0,11.57,3.1,-39.1,2102-03-03 12:00:00,Tropical
11,TC210203,Beatrice,1.0,-32.3,41.93,970.11,22.5,267.11,79.05,12.47,8.9,-48.41,2102-03-03 18:00:00,Tropical
12,TC210203,Beatrice,1.0,-29.14,42.38,971.02,21.9,265.29,78.97,14.92,2.64,-52.65,2102-03-04 00:00:00,Tropical
13,TC210203,Beatrice,1.0,-27.09,43.99,968.64,21.3,244.41,42.32,21.93,18.64,-52.73,2102-03-04 06:00:00,Transition
14,TC210203,Beatrice,1.0,-26.62,45.55,968.02,24.3,176.5,11.92,20.16,48.23,-52.18,2102-03-04 12:00:00,Transition
15,TC210203,Beatrice,1.0,-26.58,46.69,966.29,26.5,127.44,1.23,18.12,74.52,-50.79,2102-03-04 18:00:00,Transition
16,TC210203,Beatrice,1.0,-26.13,47.09,967.4,25.7,56.19,37.25,17.06,99.67,-43.4,2102-03-05 00:00:00,Transition
17,TC210203,Beatrice,1.0,-25.6,47.79,967.73,24.3,86.77,27.01,15.88,100.19,-29.54,2102-03-05 06:00:00,Transition
18,TC210203,Beatrice,1.0,-25.72,48.07,969.84,22.8,32.66,345.18,10.62,85.47,-21.39,2102-03-05 12:00:00,Transition
