,Code,Name,Lon,Lat,SLP(hPa),Winds(m/s),Dist(m),Angle,B,VLT,VUT,Time(Z),Storm Phase
0,TC210103,Harrison,-78.09,26.66,1006.8,30.8,120.8,39.25,-4.97,137.13,27.39,2101-07-21 00:00:00,Tropical
1,TC210103,Harrison,-78.25,28.44,1004.49,29.1,198.21,355.5,-5.78,136.38,27.92,2101-07-21 06:00:00,Tropical
2,TC210103,Harrison,-79.09,29.45,1006.41,22.1,139.75,324.14,-5.64,130.32,23.89,2101-07-21 12:00:00,Tropical
3,TC210103,Harrison,-79.59,30.04,1005.71,25.9,81.08,323.71,-2.76,137.84,30.38,2101-07-21 18:00:00,Tropical
4,TC210103,Harrison,-79.87,30.36,1004.52,23.9,44.82,323.46,-3.24,138.62,14.53,2101-07-22 00:00:00,Tropical
5,TC210103,Harrison,-80.26,30.49,1003.17,21.4,40.67,290.79,-4.87,138.93,4.46,2101-07-22 06:00:00,Tropical
6,TC210103,Harrison,-79.93,31.29,1001.9,24.1,94.04,19.57,-3.34,132.59,-1.74,2101-07-22 12:00:00,Tropical
7,TC210103,Harrison,-79.97,31.97,1001.84,19.9,76.05,357.63,-5.34,138.81,-17.7,2101-07-22 18:00:00,Tropical
8,TC210103,Harrison,-80.11,32.13,1002.53,18.5,22.58,322.93,-7.24,136.16,-25.04,2101-07-23 00:00:00,Tropical
9,TC210103,Harrison,-79.55,32.02,1002.31,22.8,54.68,103.27,-8.19,142.52,-15.61,2101-07-23 06:00:00,Tropical
10,TC210103,Harrison,-78.41,33.41,999.07,25.0,187.34,34.2,-8.85,157.52,-6.18,2101-07-23 12:00:00,Tropical
11,TC210103,Harrison,-77.3,33.67,997.96,26.2,106.79,74.15,-11.46,182.07,4.18,2101-07-23 18:00:00,Tropical
12,TC210103,Harrison,-75.94,34.19,996.69,26.9,137.92,65.17,-9.16,195.93,37.1,2101-07-24 00:00:00,Tropical
13,TC210103,Harrison,-74.66,34.8,992.67,29.7,135.94,60.13,-9.55,209.69,73.84,2101-07-24 06:00:00,Tropical
14,TC210103,Harrison,-73.08,34.87,986.29,35.5,144.17,86.5,-8.62,218.69,99.81,2101-07-24 12:00:00,Tropical
15,TC210103,Harrison,-71.42,34.72,979.39,40.0,152.76,96.36,-7.51,234.13,125.06,2101-07-24 18:00:00,Tropical
