,Code,Name,Orig Code,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
0,TC210103,Harrison,0124,A,2,2101-07-26 18:00:00,971.18,-50.38,41.08,2101-07-26 06:00:00,2101-07-21 00:00:00,972.98,-56.11,37.49,2101-07-21 00:00:00,1006.8,-78.09,26.66,2101-07-29 06:00:00,1006.24,-19.5,54.0,1006.8,-78.09,26.66,2101-07-26 12:00:00,971.89,-53.14,39.28,2101-07-28 00:00:00,992.45,-37.66,46.61
1,TC210105,Janet,0130,A,2,2101-09-08 18:00:00,895.97,-57.85,23.01,2101-09-08 18:00:00,2101-09-01 06:00:00,895.97,-57.85,23.01,2101-08-31 18:00:00,1007.41,-16.98,11.22,2101-09-17 00:00:00,959.44,-33.32,59.75,1004.44,-18.48,11.51,2101-09-12 18:00:00,934.13,-60.07,35.72,2101-09-14 18:00:00,962.56,-47.38,49.02
2,TC210106,Kinen,0131,A,2,2101-09-21 00:00:00,987.95,-57.9,27.28,2101-09-21 00:00:00,2101-09-14 18:00:00,987.95,-57.9,27.28,2101-09-14 18:00:00,1008.55,-33.91,12.24,2101-09-24 06:00:00,1007.81,-34.25,47.25,1008.55,-33.91,12.24,2101-09-22 18:00:00,997.21,-55.88,36.75,2101-09-23 18:00:00,1001.49,-44.6,45.12
3,TC210303,Tony,0225,A,2,2103-09-30 06:00:00,973.1,-65.86,41.49,2103-09-23 18:00:00,2103-09-15 06:00:00,986.2,-65.04,24.31,2103-09-13 18:00:00,1007.88,-30.37,10.25,2103-10-04 06:00:00,1005.28,-6.5,43.5,1005.92,-35.61,14.12,2103-09-28 12:00:00,996.27,-72.1,34.29,2103-10-01 12:00:00,990.47,-48.82,48.66
4,TC210406,Audrey,0292,A,2,2104-11-03 00:00:00,983.4,-80.23,30.79,2104-11-03 00:00:00,2104-11-01 00:00:00,983.4,-80.23,30.79,2104-11-01 00:00:00,1001.5,-64.44,31.49,2104-11-06 18:00:00,995.77,-50.5,56.75,1001.5,-64.44,31.49,2104-11-04 06:00:00,1002.87,-78.57,33.49,2104-11-04 12:00:00,1003.32,-77.3,34.64
5,TC210507,Frederick,0328,A,2,2105-09-27 18:00:00,925.26,-48.56,34.91,2105-09-27 18:00:00,2105-09-19 12:00:00,925.26,-48.56,34.91,2105-09-19 12:00:00,1008.38,-32.11,13.79,2105-10-05 12:00:00,983.83,-25.92,51.3,1008.38,-32.11,13.79,2105-10-04 18:00:00,977.52,-38.56,44.26,2105-10-05 06:00:00,980.7,-30.64,48.3
6,TC210803,Maho,0487,A,2,2108-10-05 18:00:00,946.47,-31.96,35.06,2108-10-05 18:00:00,2108-09-30 12:00:00,946.47,-31.96,35.06,2108-09-30 12:00:00,1009.31,-54.49,27.62,2108-10-12 06:00:00,987.11,-14.75,53.5,1009.31,-54.49,27.62,2108-10-11 06:00:00,1000.82,-36.27,46.14,2108-10-11 06:00:00,1000.82,-36.27,46.14
7,TC210805,Nicholas,0492,A,2,2108-10-23 00:00:00,977.04,-29.75,56.0,2108-10-20 06:00:00,2108-10-16 12:00:00,996.03,-37.01,37.68,2108-10-15 18:00:00,997.71,-48.08,37.89,2108-10-23 00:00:00,977.04,-29.75,56.0,1006.5,-45.41,30.77,2108-10-21 12:00:00,995.99,-31.45,42.91,2108-10-23 00:00:00,977.04,-29.75,56.0
8,TC210806,Queenie,0495,A,2,2108-11-10 18:00:00,957.55,-34.21,38.14,2108-11-10 18:00:00,2108-11-05 00:00:00,957.55,-34.21,38.14,2108-11-02 18:00:00,1007.77,-49.67,30.88,2108-11-13 00:00:00,998.03,1.75,47.25,1001.41,-38.37,26.44,2108-11-11 06:00:00,966.57,-31.84,44.42,2108-11-12 00:00:00,978.85,-22.88,49.5
9,TC210905,William,0535,A,2,2109-10-02 12:00:00,913.84,-65.84,28.28,2109-10-02 12:00:00,2109-09-25 06:00:00,913.84,-65.84,28.28,2109-09-25 06:00:00,1007.13,-29.45,12.77,2109-10-06 18:00:00,981.92,-44.07,54.6,1007.13,-29.45,12.77,2109-10-03 12:00:00,925.56,-61.0,34.16,2109-10-06 06:00:00,966.15,-46.58,50.39
