,Month,Climo Dataset A,Control Dataset A,RCP4.5 Dataset A,RCP8.5 Dataset A,Control Subset B,RCP4.5 Subset B,RCP8.5 Subset B,Control ET Complete Rate,RCP4.5 ET Complete Rate,RCP8.5 ET Complete Rate,P Values Climo A,P Values RCP4.5 A,P Values RCP8.5 A,P Values RCP4.5 B,P Values RCP8.5 B,P Values RCP4.5 Rate,P Values RCP8.5 Rate
0,Jan,3.5,26.7,19.4,22.6,7.8,8.6,8.6,0.292,0.444,0.381,0.0,0.282,0.559,0.843,0.843,0.29,0.512
1,Feb,0.6,15.6,21.5,21.5,8.9,5.4,11.8,0.571,0.25,0.55,0.0,0.333,0.333,0.355,0.524,0.049,0.896
2,Mar,0.6,25.6,19.4,24.7,7.8,6.5,11.8,0.304,0.333,0.478,0.0,0.355,0.899,0.731,0.366,0.828,0.208
3,Apr,1.7,23.3,23.7,15.1,8.9,8.6,6.5,0.381,0.364,0.429,0.0,0.953,0.186,0.943,0.541,0.892,0.765
4,May,18.6,25.6,14.0,23.7,13.3,5.4,10.8,0.522,0.385,0.455,0.292,0.065,0.787,0.068,0.611,0.42,0.654
5,Jun,65.7,30.0,15.1,21.5,14.4,8.6,12.9,0.481,0.571,0.6,0.0,0.027,0.236,0.227,0.774,0.57,0.395
6,Jul,84.3,31.1,10.8,7.5,16.7,2.2,4.3,0.536,0.2,0.571,0.0,0.002,0.0,0.001,0.007,0.058,0.858
7,Aug,255.2,130.0,67.7,57.0,80.0,47.3,34.4,0.615,0.698,0.604,0.0,0.0,0.0,0.004,0.0,0.246,0.878
8,Sep,412.2,183.3,87.1,82.8,95.6,49.5,44.1,0.521,0.568,0.532,0.0,0.0,0.0,0.0,0.0,0.471,0.867
9,Oct,250.6,96.7,78.5,55.9,51.1,47.3,46.2,0.529,0.603,0.827,0.0,0.169,0.001,0.702,0.619,0.326,0.0
10,Nov,70.9,47.8,53.8,59.1,17.8,32.3,29.0,0.372,0.6,0.491,0.034,0.552,0.274,0.041,0.102,0.022,0.22
11,Dec,14.0,25.6,33.3,20.4,13.3,12.9,7.5,0.522,0.387,0.368,0.065,0.316,0.443,0.938,0.203,0.312,0.304
12,Total,1177.9,661.1,444.1,411.8,335.6,234.4,228.0,0.508,0.528,0.554,0.0,0.0,0.0,0.0,0.0,0.511,0.142
