,Var,Percentile,Control,RCP4.5,RCP8.5
0,B (SLP ≤ 1008hPa),25%,-2.8,-1.9,-1.6
1,B (SLP ≤ 1008hPa),Median,4.4,6.0,6.7
2,B (SLP ≤ 1008hPa),75%,16.2,16.9,17.6
3,B (SLP ≤ 1008hPa),P Val,1.0,0.0,0.0
0,B (SLP ≤ 1000hPa),25%,-2.3,-1.5,-0.7
1,B (SLP ≤ 1000hPa),Median,6.2,6.8,7.7
2,B (SLP ≤ 1000hPa),75%,18.4,17.9,18.9
3,B (SLP ≤ 1000hPa),P Val,1.0,0.01,0.0
0,B (SLP ≤ 990hPa),25%,-2.6,-1.5,-0.5
1,B (SLP ≤ 990hPa),Median,5.8,6.9,7.8
2,B (SLP ≤ 990hPa),75%,18.1,18.6,19.9
3,B (SLP ≤ 990hPa),P Val,1.0,0.001,0.0
0,B (SLP ≤ 980hPa),25%,-3.4,-2.1,-0.9
1,B (SLP ≤ 980hPa),Median,4.3,5.2,6.5
2,B (SLP ≤ 980hPa),75%,16.0,17.2,18.3
3,B (SLP ≤ 980hPa),P Val,1.0,0.001,0.0
0,VLT (SLP ≤ 1008hPa),25%,39.9,33.8,23.0
1,VLT (SLP ≤ 1008hPa),Median,113.3,104.4,101.2
2,VLT (SLP ≤ 1008hPa),75%,205.2,193.5,192.4
3,VLT (SLP ≤ 1008hPa),P Val,1.0,0.001,0.0
0,VLT (SLP ≤ 1000hPa),25%,65.5,58.9,46.7
1,VLT (SLP ≤ 1000hPa),Median,165.6,141.8,139.9
2,VLT (SLP ≤ 1000hPa),75%,241.2,225.2,223.8
3,VLT (SLP ≤ 1000hPa),P Val,1.0,0.0,0.0
0,VLT (SLP ≤ 990hPa),25%,133.9,89.4,85.7
1,VLT (SLP ≤ 990hPa),Median,220.0,190.0,187.6
2,VLT (SLP ≤ 990hPa),75%,273.2,253.5,250.2
3,VLT (SLP ≤ 990hPa),P Val,1.0,0.0,0.0
0,VLT (SLP ≤ 980hPa),25%,198.2,147.6,136.7
1,VLT (SLP ≤ 980hPa),Median,249.8,227.9,221.5
2,VLT (SLP ≤ 980hPa),75%,290.4,272.1,265.3
3,VLT (SLP ≤ 980hPa),P Val,1.0,0.0,0.0
0,VUT (SLP ≤ 1008hPa),25%,-57.7,-69.5,-61.2
1,VUT (SLP ≤ 1008hPa),Median,1.0,4.8,-1.6
2,VUT (SLP ≤ 1008hPa),75%,117.4,103.5,100.7
3,VUT (SLP ≤ 1008hPa),P Val,1.0,0.0,0.026
0,VUT (SLP ≤ 1000hPa),25%,-41.8,-49.2,-47.9
1,VUT (SLP ≤ 1000hPa),Median,51.6,40.4,33.5
2,VUT (SLP ≤ 1000hPa),75%,226.4,185.2,183.6
3,VUT (SLP ≤ 1000hPa),P Val,1.0,0.0,0.0
0,VUT (SLP ≤ 990hPa),25%,42.0,-5.0,-6.0
1,VUT (SLP ≤ 990hPa),Median,180.9,136.2,127.6
2,VUT (SLP ≤ 990hPa),75%,312.4,292.1,275.0
3,VUT (SLP ≤ 990hPa),P Val,1.0,0.0,0.0
0,VUT (SLP ≤ 980hPa),25%,170.1,84.0,81.8
1,VUT (SLP ≤ 980hPa),Median,271.7,237.0,229.2
2,VUT (SLP ≤ 980hPa),75%,343.1,335.3,328.4
3,VUT (SLP ≤ 980hPa),P Val,1.0,0.0,0.0
