,Var,Percentile,Control,RCP4.5,RCP8.5
0,Trop Peak 850hPa Winds,10%,38.473,39.114,41.183
1,Trop Peak 850hPa Winds,Median,56.55,57.944,59.479
2,Trop Peak 850hPa Winds,90%,72.015,72.319,76.878
3,Trop Peak 850hPa Winds,P Val,1.0,0.762,0.347
0,ET Begin 850hPa Winds,10%,31.105,33.248,31.567
1,ET Begin 850hPa Winds,Median,48.065,51.208,50.174
2,ET Begin 850hPa Winds,90%,63.812,68.103,71.389
3,ET Begin 850hPa Winds,P Val,1.0,0.503,0.375
0,ET Complete 850hPa Winds,10%,30.174,27.242,31.484
1,ET Complete 850hPa Winds,Median,38.289,39.343,40.114
2,ET Complete 850hPa Winds,90%,47.58,48.844,51.401
3,ET Complete 850hPa Winds,P Val,1.0,0.379,0.162
0,Trop Peak 18m/s,10%,154.6,216.4,198.4
1,Trop Peak 18m/s,Median,388.0,447.0,491.0
2,Trop Peak 18m/s,90%,711.2,854.6,1344.2
3,Trop Peak 18m/s,P Val,1.0,0.185,0.051
0,ET Begin 18m/s,10%,192.0,361.9,320.2
1,ET Begin 18m/s,Median,565.0,692.5,711.0
2,ET Begin 18m/s,90%,1150.4,1447.3,1501.4
3,ET Begin 18m/s,P Val,1.0,0.07,0.116
0,ET Complete 18m/s,10%,400.0,416.7,555.8
1,ET Complete 18m/s,Median,1005.0,966.5,1093.0
2,ET Complete 18m/s,90%,1718.2,2084.2,2099.6
3,ET Complete 18m/s,P Val,1.0,0.685,0.282
0,Trop Peak 33m/s,10%,13.2,15.0,17.0
1,Trop Peak 33m/s,Median,59.0,71.0,93.0
2,Trop Peak 33m/s,90%,153.8,158.5,193.6
3,Trop Peak 33m/s,P Val,1.0,0.555,0.017
0,ET Begin 33m/s,10%,0.0,3.5,0.0
1,ET Begin 33m/s,Median,55.0,82.0,94.0
2,ET Begin 33m/s,90%,215.6,201.5,270.6
3,ET Begin 33m/s,P Val,1.0,0.224,0.089
0,ET Complete 33m/s,10%,0.0,0.0,0.0
1,ET Complete 33m/s,Median,40.0,48.0,67.0
2,ET Complete 33m/s,90%,278.2,217.9,337.4
3,ET Complete 33m/s,P Val,1.0,0.934,0.364
0,Trop Peak 10mm/hr,10%,9.8,10.1,14.0
1,Trop Peak 10mm/hr,Median,20.0,25.0,24.0
2,Trop Peak 10mm/hr,90%,35.6,46.0,42.6
3,Trop Peak 10mm/hr,P Val,1.0,0.152,0.123
0,ET Begin 10mm/hr,10%,2.6,7.7,5.8
1,ET Begin 10mm/hr,Median,17.0,19.0,22.0
2,ET Begin 10mm/hr,90%,35.6,43.9,50.4
3,ET Begin 10mm/hr,P Val,1.0,0.175,0.101
0,ET Complete 10mm/hr,10%,0.0,0.0,2.0
1,ET Complete 10mm/hr,Median,6.0,5.0,15.0
2,ET Complete 10mm/hr,90%,18.2,20.3,40.6
