,Month,Control Subset A,RCP4.5 Subset A,RCP8.5 Subset A,Control Subset B,RCP4.5 Subset B,RCP8.5 Subset B,Control ET Complete Rate,RCP4.5 ET Complete Rate,RCP8.5 ET Complete Rate,P Values RCP4.5 A,P Values RCP8.5 A,P Values RCP4.5 B,P Values RCP8.5 B,P Values RCP4.5 Rate,P Values RCP8.5 Rate
0,Jan,27.0,17.0,21.0,8.0,6.0,8.0,0.296,0.353,0.381,0.132,0.386,0.593,1.0,0.694,0.537
1,Feb,13.0,23.0,20.0,7.0,7.0,9.0,0.538,0.304,0.45,0.096,0.223,1.0,0.617,0.166,0.619
2,Mar,25.0,19.0,26.0,7.0,5.0,12.0,0.28,0.263,0.462,0.366,0.889,0.564,0.251,0.901,0.18
3,Apr,21.0,22.0,15.0,9.0,6.0,8.0,0.429,0.273,0.533,0.879,0.317,0.439,0.808,0.284,0.535
4,May,25.0,15.0,28.0,13.0,5.0,15.0,0.52,0.333,0.536,0.114,0.68,0.059,0.705,0.251,0.909
5,Jun,33.0,15.0,20.0,18.0,11.0,13.0,0.545,0.733,0.65,0.009,0.074,0.194,0.369,0.217,0.454
6,Jul,34.0,11.0,8.0,18.0,3.0,4.0,0.529,0.273,0.5,0.001,0.0,0.001,0.003,0.138,0.881
7,Aug,128.0,68.0,54.0,61.0,34.0,26.0,0.477,0.5,0.481,0.0,0.0,0.006,0.0,0.755,0.952
8,Sep,172.0,98.0,79.0,70.0,36.0,30.0,0.407,0.367,0.38,0.0,0.0,0.001,0.0,0.521,0.682
9,Oct,97.0,85.0,58.0,42.0,40.0,38.0,0.433,0.471,0.655,0.374,0.002,0.825,0.655,0.611,0.007
10,Nov,50.0,52.0,58.0,19.0,25.0,28.0,0.38,0.481,0.483,0.843,0.441,0.366,0.189,0.304,0.283
11,Dec,24.0,35.0,20.0,10.0,12.0,7.0,0.417,0.343,0.35,0.152,0.546,0.67,0.467,0.565,0.651
12,Total,649.0,460.0,407.0,282.0,190.0,198.0,0.435,0.413,0.486,0.0,0.0,0.0,0.0,0.476,0.099
